Community,mean_monthly_jsd,median_monthly_jsd,max_monthly_jsd,n_transitions,jsd_pre_covid,jsd_covid_post,jsd_pre_post,shift_type,acs_year,total_population,occupied_housing_units,total_housing_units,poverty_rate,unemployment_rate,bachelors_plus_rate,renter_rate,owner_rate,vacancy_rate,white_non_hispanic_rate,black_non_hispanic_rate,asian_non_hispanic_rate,hispanic_rate,median_household_income_approx,volatility_group
4,0.1599420557542391,0.15894523873349584,0.23461393691147175,71.0,0.060757300490345466,0.06747360886263029,0.06482286879287875,Low change,2023,89989,40771,43753,0.1082760325378634,0.0525583256493676,0.6367672388192671,0.5732505947855093,0.4267494052144907,0.0681553264918977,0.5734145284423652,0.0630299258798297,0.1174254631121581,0.1961239707075309,93593.08349071644,Mid-high
40,0.15431271928537985,0.150961688061663,0.24972795371040324,71.0,0.09691616872148633,0.11281540052469126,0.16601722324257576,Delayed shift,2023,35511,14643,17074,0.367570925657486,0.1572912934432103,0.325718290119131,0.7848118554940927,0.2151881445059072,0.1423802272461052,0.0788769677001492,0.8060600940553632,0.0314550420996311,0.047816169637577,44061.67681079592,Mid-low
41,0.1626144391708608,0.16634764336789876,0.2898666748588394,71.0,0.06289390292696204,0.1158208803898124,0.140280882506925,Low change,2023,55067,27254,30321,0.2448533998752339,0.0867857508794699,0.6534664356626241,0.6792030527628972,0.3207969472371028,0.1011510174466541,0.3022318266838578,0.4563531697750013,0.1112644596582345,0.0609802604100459,62983.5512437811,Mid-high
42,0.12125519060695016,0.1214193284126375,0.18618367305775016,71.0,0.09820921016347829,0.11235461174641646,0.17443276203784974,Delayed shift,2023,65733,30148,35247,0.3063949289898098,0.1462575370142374,0.3324932913312332,0.7239286188138516,0.2760713811861483,0.1446647941668794,0.1263748801971612,0.7475392877245828,0.0439353140736007,0.0416381421812483,47083.51323720404,Mid-low
43,0.08034014645142465,0.07900399808534643,0.12021744671525372,71.0,0.09737801261159766,0.12125693052448373,0.16928431964093524,Delayed shift,2023,84980,39453,46931,0.2685997255533679,0.1451672348659357,0.2607272186120343,0.6567814868324335,0.3432185131675664,0.1593403081119089,0.0371499176276771,0.8999058602024006,0.0037420569545775,0.0335490703694987,45257.15671812029,Low
44,0.09498910070123687,0.09602951760336483,0.14189789070032,71.0,0.09327378641282709,0.10485347109127388,0.16420615373927164,Delayed shift,2023,56936,25903,30588,0.2504136886948562,0.1830513472667625,0.2777372721558768,0.5768829865266571,0.4231170134733428,0.1531646397279979,0.0130321764788534,0.931343965153857,0.0042328228186033,0.0263102430799494,46804.45122186619,Low
45,0.20228880957163486,0.20116367179283448,0.29084937683616674,71.0,0.09599543485392094,0.11777272084367624,0.16182680854088716,Delayed shift,2023,33567,15481,17948,0.2193399754659964,0.1375130745093213,0.2848651667464497,0.494735482203992,0.505264517796008,0.1374526409627813,0.0179938630202282,0.9255518813120028,0.00038728513123,0.0289868025143742,51429.378851495385,Mid-high
46,0.11056039652906038,0.11160322624805445,0.16922409965208585,71.0,0.09987726701233646,0.10559173354847129,0.15878646657981157,Delayed shift,2023,57505,23547,28865,0.2699036690749398,0.128969149736644,0.2143869596031183,0.5889922283093387,0.4110077716906612,0.1842369651827472,0.0412138074950004,0.7491696374228328,0.0043648378401878,0.1859664377010694,48384.14804433686,Low
47,0.3596485570870479,0.3631171928349768,0.49296886774636184,71.0,0.1697229371212786,0.15268245378092893,0.21605973395430003,Persistent shift,2023,21176,9881,11489,0.2963353293413173,0.1782074483284122,0.2704839020628494,0.5515636069223763,0.4484363930776237,0.139959961702498,0.0337646392142047,0.934973554967888,0.0021250472232716,0.0170948243294295,45654.50855176602,High
48,0.19937472288552416,0.1998302317327583,0.3162506241638873,71.0,0.11396337413688543,0.12702632384227178,0.17854301215692947,Persistent shift,2023,42967,17812,20633,0.2439213475227288,0.1371201546225706,0.2515735837746028,0.4422299573321356,0.5577700426678643,0.1367227257306257,0.0196429818232597,0.7698699001559336,0.0018386203365373,0.1903786626946261,51564.79176959353,Mid-high
49,0.08849020945741275,0.08582172863913187,0.1395348860528177,71.0,0.10313299486973394,0.10711365372682614,0.1618244228568349,Persistent shift,2023,82755,32639,38738,0.2316281453640202,0.1550523603267723,0.258160807178019,0.4187628297435583,0.5812371702564417,0.1574423047137177,0.0350190320826536,0.89415745272189,0.0034559845326566,0.0463778623648117,54102.84389840375,Low
5,0.20962229811234342,0.21102813438273726,0.3493674734406845,71.0,0.07757292836170712,0.1006571468251599,0.09299459254974919,Low change,2023,79549,35431,38587,0.0614873653503731,0.0397028492857688,0.7179495971198354,0.5008890519601479,0.4991109480398521,0.0817892036177987,0.661189958390426,0.0286238670504971,0.0690392085381337,0.1965455253994393,127908.80299737518,Mid-high
50,0.21367112078273262,0.20739806396105542,0.31894903878874215,71.0,0.1119602703649271,0.09413981034306128,0.1472809307863493,Temporary disruption,2023,34783,14534,17384,0.2872371325665156,0.1472979734801101,0.2212196126905644,0.5449291316912068,0.4550708683087932,0.1639438564196962,0.0328321306385303,0.8812638357818474,0.0030762153925768,0.062846792973579,45790.95314435117,High
51,0.1718910278427831,0.16929324858946065,0.2697818900382657,71.0,0.11913704157892627,0.11984203031958722,0.17440670889242565,Persistent shift,2023,57181,23286,26584,0.2230307918917023,0.1209478234022846,0.2038747984541755,0.4415958086403848,0.5584041913596152,0.124059584712609,0.1005054126370647,0.5046081740438257,0.0035851069411168,0.3787271995942708,52021.79799020871,Mid-high
52,0.21553585286935803,0.21779195710589194,0.3613128990692169,71.0,0.11305876053394179,0.09427024091937114,0.11264763720714192,Temporary disruption,2023,41891,14938,17463,0.2064336737139843,0.0992488166289359,0.1379465795108757,0.4384790467264694,0.5615209532735306,0.1445914218633682,0.1220309851758134,0.1725430283354419,0.0032226492564035,0.6929650760306509,53223.95554960503,High
53,0.11168763222019662,0.10849487224667344,0.17500589962362592,71.0,0.10160001465014362,0.12533699659197042,0.15044829027049778,Delayed shift,2023,55738,21432,25738,0.2386847686200583,0.1718242302336376,0.1961499986481736,0.4692515864128406,0.5307484135871594,0.1673012666096821,0.054038537443037,0.8329685313430694,0.0005023502816749,0.0713696221608238,49841.5235162374,Low
54,0.19579462536747036,0.1918470408180359,0.2869095928773157,71.0,0.10015351103717303,0.0919546928887769,0.14870546225979833,Delayed shift,2023,35039,14071,17032,0.3319522370881888,0.1598194426272406,0.1731314609825267,0.565915713168929,0.434084286831071,0.1738492249882574,0.067838694026656,0.7610377008476269,0.0007705699363566,0.1391306829532806,40459.82822827091,Mid-high
55,0.28160322211286987,0.2928169847757694,0.4105431747966099,71.0,0.11106269362122012,0.1012831234532307,0.15973768488211038,Persistent shift,2023,27050,10174,11459,0.1871751729295195,0.1034315704481227,0.1422671206117095,0.3991547080794181,0.6008452919205819,0.1121389300986124,0.1693160813308687,0.2929390018484288,0.0049907578558225,0.5105730129390018,56411.38480440338,High
56,0.17348922590575264,0.1748322072491974,0.2610387800873223,71.0,0.12221041661177665,0.11391639442761704,0.14156312570309415,Temporary disruption,2023,88676,30162,31463,0.0794328490051075,0.0649774494028058,0.2157879861007199,0.2160002652344009,0.7839997347655991,0.0413501573276547,0.2673440389733411,0.0200054129640488,0.0182574766565925,0.6856872208940412,83435.08925101421,Mid-high
57,0.24372427357652676,0.24007419236322117,0.40526354320262087,71.0,0.12967759879319835,0.05676299857801233,0.1471647073474457,Temporary disruption,2023,43748,13694,14319,0.1101963414352119,0.0892266715650257,0.1423565332038026,0.3414634146341463,0.6585365853658537,0.0436482994622529,0.1043933436957118,0.0216467038493188,0.0697174727987565,0.8002194386029076,67349.44080839487,High
58,0.15346992209075766,0.14659444808016772,0.22895073432187343,71.0,0.07997905087376328,0.09591670202566392,0.11665215007824743,Low change,2023,83738,24532,26402,0.1972272805816596,0.0998792841022411,0.1544401544401544,0.4684086091635415,0.5315913908364585,0.0708279675782137,0.0827939525663378,0.0962287133678855,0.0823401562014855,0.7324273328715756,60664.825574759496,Mid-low
