Community,state_id,lag_months,correlation,n_start_points
11,2,10,0.045454545454545456,8
11,2,11,0.045454545454545456,8
11,2,12,0.20454545454545456,8
11,2,13,0.3181818181818182,8
11,2,14,0.11363636363636363,8
11,2,15,0.09090909090909091,8
11,2,16,0.0,8
11,2,17,0.0,8
11,2,18,0.0,8
11,2,19,0.5454545454545454,8
11,2,20,0.3333333333333333,7
11,2,21,0.0,6
11,2,22,0.0,6
11,2,23,0.0,6
11,2,24,0.0,6
11,2,25,0.42857142857142855,6
11,2,26,0.5714285714285714,6
11,2,27,0.0,5
11,2,28,0.0,5
11,2,29,0.0,5
11,2,30,0.1,5
11,2,31,0.0,5
11,2,32,0.1,5
11,2,33,0.0,5
11,2,34,0.2,5
11,2,35,0.0,5
11,2,36,0.1,5
11,5,1,0.0,1
11,5,2,0.0,1
11,5,3,0.0,1
11,5,4,0.0,1
11,5,5,0.0,1
11,5,6,0.0,1
11,5,7,0.0,1
11,5,8,0.0,1
11,5,9,0.0,1
11,6,1,0.23809523809523808,13
11,6,2,0.10119047619047619,13
11,6,3,0.09523809523809523,13
11,6,4,0.30952380952380953,13
11,6,5,0.2619047619047619,13
11,6,6,0.23809523809523808,13
11,6,7,0.16666666666666666,13
11,6,8,0.11904761904761904,13
11,6,9,0.023809523809523808,13
11,6,10,0.14285714285714285,13
11,6,11,0.4166666666666667,13
11,6,12,0.14285714285714285,13
11,6,13,0.13095238095238096,13
11,6,14,0.19047619047619047,13
11,6,15,0.2619047619047619,13
11,6,16,0.14285714285714285,13
11,6,17,0.19047619047619047,13
11,6,18,0.14285714285714285,13
11,6,19,0.19047619047619047,13
11,6,20,0.047619047619047616,13
11,6,21,0.19047619047619047,13
11,6,22,0.14285714285714285,13
11,6,23,0.047619047619047616,13
11,6,24,0.023809523809523808,13
11,6,25,0.20238095238095238,13
11,6,26,0.11904761904761904,13
11,6,27,0.011904761904761904,13
11,6,28,0.0,13
11,6,29,0.0,13
11,6,30,0.09523809523809523,13
11,6,31,0.047619047619047616,13
11,6,32,0.1,12
11,6,33,0.05555555555555555,11
11,6,34,0.0,11
11,6,35,0.0,11
11,6,36,0.1111111111111111,11
11,12,1,0.0,4
11,12,2,0.0,4
11,12,3,0.0,4
11,12,4,0.0,4
11,12,5,0.0,4
11,12,6,0.0,3
11,12,7,0.0,3
11,12,8,0.0,3
11,12,9,0.0,3
11,12,10,0.0,3
11,12,11,0.0,3
11,12,12,0.0,3
11,12,13,0.0,3
11,12,14,0.0,3
11,12,15,0.0,3
11,12,16,0.0,3
11,12,17,0.0,3
11,12,18,0.0,3
11,12,19,0.6363636363636365,3
11,12,20,0.27272727272727276,3
11,12,21,0.0,3
11,12,22,0.0,3
11,12,23,0.0,3
11,12,24,0.0,3
11,12,25,0.0,2
11,12,26,0.0,2
11,12,27,0.0,2
11,12,28,0.0,2
11,12,29,0.0,2
11,12,30,0.0,2
11,12,31,0.0,2
11,12,32,0.0,2
11,12,33,0.0,2
