index,Community,YMonth,Year,Month,Period,ASSAULT,BATTERY,BURGLARY,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,MOTOR VEHICLE THEFT,NARCOTICS,OTHER CRIMES,OTHER OFFENSE,PUBLIC ORDER,ROBBERY,SEXUAL CRIMES,THEFT,WEAPONS VIOLATION,dominantCrime,dominantCrimeShare,arrestRate,domesticRate,acs_year,sample_idx,date,state_id,state_weight
2488,40,202105,2021,05,COVID,0.07142857142857142,0.22142857142857142,0.007142857142857143,0.14285714285714285,0.02857142857142857,0.09285714285714286,0.02857142857142857,0.007142857142857143,0.02142857142857143,0.14285714285714285,0.007142857142857143,0.02142857142857143,0.0,0.16428571428571428,0.04285714285714286,BATTERY,0.22142857142857142,0.1357142857142857,0.32857142857142857,2021,2488,2021-05-01,7,0.5
2488,40,202105,2021,05,COVID,0.07142857142857142,0.22142857142857142,0.007142857142857143,0.14285714285714285,0.02857142857142857,0.09285714285714286,0.02857142857142857,0.007142857142857143,0.02142857142857143,0.14285714285714285,0.007142857142857143,0.02142857142857143,0.0,0.16428571428571428,0.04285714285714286,BATTERY,0.22142857142857142,0.1357142857142857,0.32857142857142857,2021,2488,2021-05-01,10,0.5
2489,40,202106,2021,06,COVID,0.15083798882681565,0.3240223463687151,0.027932960893854747,0.08379888268156424,0.00558659217877095,0.061452513966480445,0.061452513966480445,0.01675977653631285,0.0223463687150838,0.05027932960893855,0.0,0.0223463687150838,0.0,0.11173184357541899,0.061452513966480445,BATTERY,0.3240223463687151,0.1340782122905028,0.3687150837988827,2021,2489,2021-06-01,14,1.0
2490,40,202107,2021,07,COVID,0.09392265193370165,0.24861878453038674,0.022099447513812154,0.1270718232044199,0.011049723756906077,0.0718232044198895,0.049723756906077346,0.016574585635359115,0.03314917127071823,0.0718232044198895,0.0,0.03314917127071823,0.011049723756906077,0.15469613259668508,0.055248618784530384,BATTERY,0.24861878453038674,0.11602209944751381,0.35359116022099446,2021,2490,2021-07-01,14,1.0
2491,40,202108,2021,08,COVID,0.14594594594594595,0.3027027027027027,0.0,0.12972972972972974,0.016216216216216217,0.03783783783783784,0.06486486486486487,0.005405405405405406,0.021621621621621623,0.08108108108108109,0.0,0.016216216216216217,0.0,0.12972972972972974,0.04864864864864865,BATTERY,0.3027027027027027,0.08648648648648649,0.44324324324324327,2021,2491,2021-08-01,0,0.5
2491,40,202108,2021,08,COVID,0.14594594594594595,0.3027027027027027,0.0,0.12972972972972974,0.016216216216216217,0.03783783783783784,0.06486486486486487,0.005405405405405406,0.021621621621621623,0.08108108108108109,0.0,0.016216216216216217,0.0,0.12972972972972974,0.04864864864864865,BATTERY,0.3027027027027027,0.08648648648648649,0.44324324324324327,2021,2491,2021-08-01,8,0.5
2492,40,202109,2021,09,COVID,0.12365591397849462,0.24193548387096775,0.03225806451612903,0.13978494623655913,0.010752688172043012,0.06989247311827956,0.053763440860215055,0.005376344086021506,0.016129032258064516,0.0967741935483871,0.005376344086021506,0.03763440860215054,0.0,0.11827956989247312,0.04838709677419355,BATTERY,0.24193548387096775,0.04838709677419355,0.3709677419354839,2021,2492,2021-09-01,0,0.5
2492,40,202109,2021,09,COVID,0.12365591397849462,0.24193548387096775,0.03225806451612903,0.13978494623655913,0.010752688172043012,0.06989247311827956,0.053763440860215055,0.005376344086021506,0.016129032258064516,0.0967741935483871,0.005376344086021506,0.03763440860215054,0.0,0.11827956989247312,0.04838709677419355,BATTERY,0.24193548387096775,0.04838709677419355,0.3709677419354839,2021,2492,2021-09-01,14,0.5
2493,40,202110,2021,10,COVID,0.125,0.18181818181818182,0.045454545454545456,0.16477272727272727,0.011363636363636364,0.0625,0.09090909090909091,0.022727272727272728,0.011363636363636364,0.07386363636363637,0.0,0.05113636363636364,0.022727272727272728,0.09090909090909091,0.045454545454545456,BATTERY,0.18181818181818182,0.11363636363636363,0.26704545454545453,2021,2493,2021-10-01,8,1.0
2494,40,202111,2021,11,COVID,0.12025316455696203,0.26582278481012656,0.056962025316455694,0.10126582278481013,0.0,0.0189873417721519,0.0759493670886076,0.02531645569620253,0.012658227848101266,0.0759493670886076,0.006329113924050633,0.02531645569620253,0.012658227848101266,0.13291139240506328,0.06962025316455696,BATTERY,0.26582278481012656,0.13924050632911392,0.34810126582278483,2021,2494,2021-11-01,14,1.0
2495,40,202112,2021,12,COVID,0.15083798882681565,0.21787709497206703,0.0446927374301676,0.12849162011173185,0.00558659217877095,0.0446927374301676,0.055865921787709494,0.00558659217877095,0.00558659217877095,0.0893854748603352,0.00558659217877095,0.0446927374301676,0.00558659217877095,0.13966480446927373,0.055865921787709494,BATTERY,0.21787709497206703,0.09497206703910614,0.31843575418994413,2021,2495,2021-12-01,0,1.0
2496,40,202201,2022,01,Post-COVID,0.1366906474820144,0.2733812949640288,0.02877697841726619,0.1079136690647482,0.014388489208633094,0.04316546762589928,0.06474820143884892,0.007194244604316547,0.02877697841726619,0.09352517985611511,0.02158273381294964,0.050359712230215826,0.0,0.09352517985611511,0.03597122302158273,BATTERY,0.2733812949640288,0.1223021582733813,0.39568345323741005,2023,2496,2022-01-01,14,1.0
2497,40,202202,2022,02,Post-COVID,0.13513513513513514,0.23648648648648649,0.013513513513513514,0.08783783783783784,0.02027027027027027,0.033783783783783786,0.05405405405405406,0.04054054054054054,0.0,0.08108108108108109,0.006756756756756757,0.04054054054054054,0.013513513513513514,0.16891891891891891,0.06756756756756757,BATTERY,0.23648648648648649,0.14189189189189189,0.3108108108108108,2023,2497,2022-02-01,3,0.5
2497,40,202202,2022,02,Post-COVID,0.13513513513513514,0.23648648648648649,0.013513513513513514,0.08783783783783784,0.02027027027027027,0.033783783783783786,0.05405405405405406,0.04054054054054054,0.0,0.08108108108108109,0.006756756756756757,0.04054054054054054,0.013513513513513514,0.16891891891891891,0.06756756756756757,BATTERY,0.23648648648648649,0.14189189189189189,0.3108108108108108,2023,2497,2022-02-01,9,0.5
