state_id,lag_months,mean_correlation,sd_correlation,n_communities,n_start_points
12,23,0.33186472751690144,0.2554804709737847,19.0,74.0
12,24,0.3547007340485601,0.32784425740518847,19.0,69.0
12,25,0.28024408908547993,0.24777011313170927,19.0,65.0
12,26,0.26981667920946856,0.21590334151254736,19.0,62.0
12,27,0.25794586769163036,0.23774709153261378,19.0,59.0
12,28,0.22888246810660604,0.21632054408805862,19.0,58.0
12,29,0.2524945292802436,0.24806272473203075,19.0,56.0
12,30,0.22916486805375694,0.20816041063780788,18.0,54.0
12,31,0.22416639963809776,0.21278023479795014,18.0,53.0
12,32,0.22740634627427078,0.24058659382023942,18.0,53.0
12,33,0.2033635168250553,0.20736443830679427,18.0,52.0
12,34,0.2537018537018537,0.2989033174666756,18.0,52.0
12,35,0.24980419580419583,0.25559572549286075,18.0,50.0
12,36,0.20081833060556464,0.27909416468522097,17.0,47.0
13,1,0.23671417435832587,0.17646885187370062,35.0,161.0
13,2,0.2049882499151516,0.16642988178477555,35.0,153.0
13,3,0.17480577700221928,0.14849990450262562,35.0,142.0
13,4,0.16801682141039778,0.16890739748081124,35.0,137.0
13,5,0.19044658384673907,0.16063844998379379,35.0,129.0
13,6,0.18738642865340657,0.18071366209997763,35.0,124.0
13,7,0.19590869170206654,0.23221024680033883,35.0,116.0
